Parent UEI or fallback key,Display name,Total $M,Sub action count,% of total
WAJ6RKYZTYL3,"C. & C. METALS ENGINEERING, INC.",6.76,115,0.06%
UAC2KLJM4XY1,TRANSDIGM GROUP INCORPORATED,6.71,21,0.06%
DNV6ZJNJPLW8,AMERICAN INDUSTRIAL ACQUISITION CORPORATION,6.46,18,0.06%
UMMDFSB4ARJ7,TECHPRECISION CORPORATION,6.45,31,0.06%
U4MMR7DR2DR7,"JAL ENTERPRISES, INC.",6.27,13,0.06%
USRQZ9JUAF88,COGITIC CORPORATION,6.11,29,0.06%
Z43PV7K61YL4,WAUKESHA BEARINGS CORPORATION,6.02,3,0.06%
PNE9R5EJMWK8,L-3 COMMUNICATIONS WESTWOOD CORPORATION,6.0,22,0.06%
FR7WWCCNBQZ6,D K MACHINE INC,5.96,23,0.06%
XNFVD42NAB73,TRIAS CONSTRUCTION LLC,5.94,24,0.06%
GR2CKSBB4MB5,LENAPE FORGED PRODUCTS CORP.,5.93,26,0.06%
E2P8AAJA2LK5,"MICRO PRECISION, LLC",5.86,64,0.06%
QZ9GLUKS1MS9,ARTCRAFT FABRICATORS INC,5.82,3,0.06%
E9DKKLZNCQS9,TRIDENT MARITIME SYSTEMS UK LIMITED,5.79,9,0.06%
M98JCJ2U7RD8,"CARLTON NATIONAL RESOURCES, INC.",5.72,37,0.05%
