supplier,n_blocks_served,blocks_served,reported_$m,n_subawards,top_swbs_system
"METALTEK INTERNATIONAL, INC.",2,FY13-17 MYP; FY18-22 MYP,1.2,15,(unmapped)
CAROLINA POWER SYSTEMS OF SUMTER INC,2,FY18-22 MYP; FY23-27 MYP,1.2,4,(unmapped)
QUALITY PERFORMANCE INC,2,FY13-17 MYP; FY18-22 MYP,1.2,9,(unmapped)
BRADKEN INC,2,FY18-22 MYP; FY23-27 MYP,1.2,3,(unmapped)
WILLIAM E WILLIAMS VALVE CORP,2,FY18-22 MYP; FY23-27 MYP,1.2,13,(unmapped)
SCHOELLHORN - ALBRECHT MACHINE CO INC,2,FY18-22 MYP; FY23-27 MYP,1.1,10,(unmapped)
"TRI-TEC MANUFACTURING, LLC",2,FY13-17 MYP; FY18-22 MYP,1.1,10,(unmapped)
"NAC GROUP, INC.",2,FY13-17 MYP; FY18-22 MYP,1.0,15,(unmapped)
"SPECTRONICS, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.9,23,(unmapped)
BAUER COMPRESSORS INC,2,FY18-22 MYP; FY23-27 MYP,0.9,3,(unmapped)
"EDRO CORPORATION, THE",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.9,16,(unmapped)
"BESTWELD, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.9,15,(unmapped)
Arastaff,2,FY11 single-ship; FY13-17 MYP,0.8,10,(unmapped)
TAVERNIER DIDIER,2,FY11 single-ship; FY13-17 MYP,0.8,8,(unmapped)
DRS TECHNOLOGIES CANADA LTD,2,FY11 single-ship; FY13-17 MYP,0.8,15,(unmapped)
"DERBYSHIRE MARINE PRODUCTS, LLC",2,FY11 single-ship; FY13-17 MYP,0.8,16,(unmapped)
"LEIDOS, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.8,8,(unmapped)
"CRANE PUMPS & SYSTEMS, INC.",2,FY13-17 MYP; FY18-22 MYP,0.8,6,(unmapped)
"CP INDUSTRIES HOLDINGS, INC.",2,FY13-17 MYP; FY18-22 MYP,0.8,17,(unmapped)
GENERAL TOOL COMPANY,2,FY13-17 MYP; FY18-22 MYP,0.8,9,(unmapped)
"OCENCO, INCORPORATED",2,FY11 single-ship; FY13-17 MYP,0.7,3,(unmapped)
"WESCO DISTRIBUTION, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.7,10,(unmapped)
"GAYLORD INDUSTRIES, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.7,8,(unmapped)
"EPSILON SYSTEMS SOLUTIONS, INC.",2,FY11 single-ship; FY13-17 MYP,0.7,14,(unmapped)
"TATE ANDALE, LLC",2,FY18-22 MYP; FY23-27 MYP,0.7,10,(unmapped)
DERBYSHIRE MACHINE & TOOL CO,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.7,9,(unmapped)
ANIXTER INC.,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.7,10,(unmapped)
ARC TECHNOLOGIES LLC,2,FY13-17 MYP; FY18-22 MYP,0.7,5,(unmapped)
Limitorque Corporation,2,FY13-17 MYP; FY18-22 MYP,0.6,8,(unmapped)
L3HARRIS MARITIME SERVICES INC,3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,0.6,5,(unmapped)
"HYSPAN PRECISION PRODUCTS, INC.",2,FY11 single-ship; FY18-22 MYP,0.6,8,(unmapped)
BELL STEEL COMPANY,2,FY13-17 MYP; FY18-22 MYP,0.6,9,(unmapped)
SFC Valve Corporation,2,FY18-22 MYP; FY23-27 MYP,0.6,3,(unmapped)
"Triple Son Wholesale Timber, Inc.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.6,6,(unmapped)
"TATE ANDALE, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.6,10,(unmapped)
The Tool House Inc,2,FY11 single-ship; FY13-17 MYP,0.6,5,(unmapped)
GOODRICH CORPORATION,2,FY13-17 MYP; FY18-22 MYP,0.6,14,(unmapped)
"PARASENSE, INC",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.6,11,(unmapped)
"SYSCO USA II, LLC",2,FY11 single-ship; FY13-17 MYP,0.5,5,(unmapped)
"WEAVER SUPPLY COMPANY, LLC",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.5,14,(unmapped)
BAKER SHEET METAL CORPORATION,2,FY11 single-ship; FY18-22 MYP,0.5,6,(unmapped)
"AMERICAN BOA, INCORPORATED",2,FY13-17 MYP; FY18-22 MYP,0.5,6,(unmapped)
