fy,uei,vendor,foreign,amount_M,records
2024,F76KN7T9YP64,WAUKESHA BEARINGS CORPORATION,,16.3578,5
2024,NEGFNA8YS723,"ALLARD NAZARIAN GROUP, INC.",,14.6484,4
2024,DA1PDLWQ7BH4,BEAST CODE LLC,,11.0325,4
2024,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",,9.4031,44
2024,WJ45NXW2TVD7,MOOG INC.,,8.8364,10
2024,WESDY4U81NP8,"TRIDENT MARITIME SYSTEMS - CAC, LLC",,8.7258,44
2024,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,,8.6036,6
2024,XQW8RJNNAXX8,"W INTERNATIONAL, LLC",,8.2054,12
2024,CW48SQ7KJX68,"CRAFT MACHINE WORKS, INC.",,8.0675,20
2024,PAH8M4BJACA5,TELEDYNE INSTRUMENTS INC,,7.7241,38
2024,GE4GA2B9JYF9,"MERRILL TECHNOLOGIES GROUP, LLC",,7.7030,21
2024,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",,7.4210,3
2024,XFMBL7A963X9,"OIL STATES INDUSTRIES, INC",,7.4114,9
2024,FMC8BKMNMKF2,"FLUID CONDITIONING PRODUCTS, INC.",,6.7726,19
2024,EGAVSJTA2D81,GOODRICH CORP,,6.7706,9
2024,QCFDU4MA1444,A/Z CORPORATION,,6.6091,5
2024,QZ9GLUKS1MS9,ARTCRAFT FABRICATORS INC,,5.5757,2
2024,WVW5FMYALEL6,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",,5.5553,2
2024,CE3HF8PLAFD3,"MILWAUKEE VALVE COMPANY, LLC",,5.5350,17
2024,CDVZLNCU7Z44,LEHIGH HEAVY FORGE CORP,,5.4132,5
2024,D77VA4G9VJG8,CATERPILLAR INC,,5.3607,3
2024,CFXRGJSB9UB6,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",,5.0264,2
2024,G9HKMXL5L973,"OIL STATES INDUSTRIES, INC.",,4.7791,14
2024,K3XPS1HXNBF3,"B & F MACHINE CO., INC.",,4.7653,40
2024,DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC",,4.6893,48
2024,GU5YDKH7GPF1,CIRCOR NAVAL SOLUTIONS LLC,,4.4610,10
2024,RM4TFABVLPX4,"CP INDUSTRIES HOLDINGS, INC",,4.4201,4
