LI,Class,Category,Bucket,FY,Best Value $M,Source PB,All Vintages
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,EOQ,2024,9.297,PB2026,"PB2023=9.290, PB2024=9.297, PB2025=9.297, PB2026=9.297"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,EOQ,2025,5.035,PB2027,"PB2023=2.550, PB2024=2.546, PB2025=5.035, PB2026=5.035, PB2027=5.035"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,EOQ,2026,5.509,PB2027,"PB2023=2.255, PB2024=2.257, PB2025=2.306, PB2026=5.509, PB2027=5.509"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,EOQ,2027,5.848,PB2027,"PB2023=3.848, PB2024=3.852, PB2025=3.848, PB2027=5.848"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,EOQ,2028,17.051,PB2027,"PB2024=1.799, PB2025=1.751, PB2027=17.051"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,EOQ,2029,3.115,PB2027,"PB2025=1.500, PB2027=3.115"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,EOQ,2030,5.604,PB2027,PB2027=5.604
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,EOQ,2031,4.930,PB2027,PB2027=4.930
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,Ordnance LLTM,2021,4.412,PB2023,"PB2022=4.412, PB2023=4.412"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,Ordnance LLTM,2022,52.503,PB2024,"PB2022=52.503, PB2023=52.503, PB2024=52.503"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,Ordnance LLTM,2023,97.281,PB2025,"PB2023=97.281, PB2024=97.281, PB2025=97.281"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,Ordnance LLTM,2024,96.905,PB2026,"PB2023=96.883, PB2024=96.905, PB2025=96.905, PB2026=96.905"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,Ordnance LLTM,2025,86.783,PB2027,"PB2023=84.877, PB2024=84.884, PB2025=86.783, PB2026=86.783, PB2027=86.783"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,Ordnance LLTM,2026,108.205,PB2027,"PB2023=110.255, PB2024=110.262, PB2025=111.394, PB2026=108.205, PB2027=108.205"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,Ordnance LLTM,2027,135.555,PB2027,"PB2023=124.611, PB2024=124.613, PB2025=117.609, PB2027=135.555"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,Ordnance LLTM,2028,154.340,PB2027,"PB2024=165.832, PB2025=165.832, PB2027=154.340"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,Ordnance LLTM,2029,90.819,PB2027,"PB2025=78.872, PB2027=90.819"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,Ordnance LLTM,2030,104.595,PB2027,PB2027=104.595
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,Ordnance LLTM,2031,93.629,PB2027,PB2027=93.629
1045,Columbia,PLANS,Plans / SIB,2020,872.662,PB2022,PB2022=872.662
1045,Columbia,PLANS,Plans / SIB,2021,85.000,PB2023,"PB2022=85.000, PB2023=85.000"
1045,Columbia,PLANS,Plans / SIB,2022,110.000,PB2024,"PB2023=110.000, PB2024=110.000"
1045,Columbia,PLANS,Plans / SIB,2023,541.000,PB2025,"PB2023=541.000, PB2024=541.000, PB2025=541.000"
1045,Columbia,PLANS,Plans / SIB,2024,2355.000,PB2026,"PB2023=400.000, PB2024=400.000, PB2025=400.000, PB2026=2355.000"
1045,Columbia,PLANS,Plans / SIB,2025,2077.189,PB2026,"PB2023=395.000, PB2024=395.000, PB2025=2027.189, PB2026=2077.189"
