program,piid,work_type,vendor_uei,vendor_name,n_records,dollars
ddg,N0002418C2307,structural,GV6WMAJUK1R9,SIOUX MANUFACTURING CORPORATION,1,0.044
ddg,N0002418C2307,structural,WSK3WRSGKAU1,ALFA LAVAL INC,1,0.131
ddg,N0002418C2307,electrical,SKKACASET588,DYNALEC CORPORATION,93,8.163
ddg,N0002418C2307,electrical,W8PTMRME1496,LEONARDO SPA,79,26.43
ddg,N0002418C2307,electrical,Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,39,25.334
ddg,N0002418C2307,electrical,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",24,14.828
ddg,N0002418C2307,electrical,JCBMC726D155,BOGUE SYSTEMS INC,20,4.514
ddg,N0002418C2307,electrical,YYVHWZMPP3F8,DRS NAVAL POWER SYSTEMS INC,15,9.704
ddg,N0002418C2307,electrical,PU6TDFGSJQA3,DYNALEC CORPORATION,14,1.583
ddg,N0002418C2307,electrical,ZW3UMG9YVNA9,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",11,9.524
ddg,N0002418C2307,electrical,PNLJW4UFU1A8,"MARK C. POPE ASSOCIATES, INC.",10,4.353
ddg,N0002418C2307,electrical,C1B6X8AADFB1,"COMSACO, INC.",8,2.946
ddg,N0002418C2307,electrical,UK6NAHCH8459,"CAROLINA POWER SYSTEMS OF SUMTER, INC.",8,1.255
ddg,N0002418C2307,electrical,HLFDNJU7KXJ1,BOGUE SYSTEMS INC.,7,2.971
ddg,N0002418C2307,electrical,KSFXGBDLNG74,SCHNEIDER ELECTRIC SE,7,3.588
ddg,N0002418C2307,electrical,ZU51LS7JZ8L5,"FCX SYSTEMS, INC.",5,3.065
ddg,N0002418C2307,electrical,PNE9R5EJMWK8,L-3 COMMUNICATIONS WESTWOOD CORPORATION,4,0.744
ddg,N0002418C2307,electrical,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",3,10.899
