rank,uei,vendor,amount_M_lifetime,primary_naics,naics_desc,naics_2digit,naics_4digit,naics_sector_label,cage,country,lookup_status
12,UXEGD3WECED5,"EXTREME ENGINEERING SOLUTIONS, INC",152.6084,334111,Electronic Computer Manufacturing ,33,3341,Manufacturing — Machinery/Electronics/Transport Eq,3EK66,USA,ok
13,E582KXT4RVH6,"SUPERIOR ELECTROMECHANICAL COMPONENT SERVICE, INC.",146.655,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,66344,USA,ok
14,GC7MKAN5DG35,IN-DEPTH ENGINEERING CORPORATION,137.791,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",33,3345,Manufacturing — Machinery/Electronics/Transport Eq,4HRH6,USA,ok
15,GA9GS8RRMSS9,MAJOR TOOL & MACHINE INC,131.7774,,,,,Unknown,,,not_found
16,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC",130.4485,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",33,3345,Manufacturing — Machinery/Electronics/Transport Eq,27410,USA,ok
17,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,119.9552,,,,,Unknown,,,not_found
18,NUJPUJELENZ5,AI CONVOY TOPCO & CY S.C.A.,118.203,,,,,Unknown,,,not_found
19,N1BWHKEBJKL5,ELEMENT SOLUTIONS INC,115.1394,,,,,Unknown,,,not_found
20,RB1NHMLR5BX9,DUCOMMUN INCORPORATED,105.8934,,,,,Unknown,,,not_found
21,YBVGQEYENNM6,HONEYWELL INTERNATIONAL INC.,100.1512,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",33,3345,Manufacturing — Machinery/Electronics/Transport Eq,0B7T5,USA,ok
22,PQNBC8KG93R3,AMPHENOL CORPORATION,97.4839,,,,,Unknown,,,not_found
