rank,uei,vendor,amount_M_lifetime,primary_naics,naics_desc,naics_2digit,naics_4digit,naics_sector_label,cage,country,lookup_status
118,U4MMR7DR2DR7,"JAL ENTERPRISES, INC.",6.1652,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,0SG78,USA,ok
119,DNV6ZJNJPLW8,AMERICAN INDUSTRIAL ACQUISITION CORPORATION,6.022,551112,Offices of Other Holding Companies ,55,5511,Management of Companies,82RC5,USA,ok
120,Z43PV7K61YL4,WAUKESHA BEARINGS CORPORATION,6.0168,,,,,Unknown,,,not_found
121,FR7WWCCNBQZ6,D K MACHINE INC,5.9575,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,1V7D3,USA,ok
122,GR2CKSBB4MB5,LENAPE FORGED PRODUCTS CORP.,5.9332,332112,Nonferrous Forging ,33,3321,Manufacturing — Machinery/Electronics/Transport Eq,13871,USA,ok
123,GLRVV6FC6DB3,GP STRATEGIES CORPORATION,5.8987,611430,Professional and Management Development Training ,61,6114,Educational Services,64825,USA,ok
124,E2P8AAJA2LK5,"MICRO PRECISION, LLC",5.8632,332721,Precision Turned Product Manufacturing ,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,8U766,USA,ok
125,E9DKKLZNCQS9,TRIDENT MARITIME SYSTEMS UK LIMITED,5.7874,334419,Other Electronic Component Manufacturing ,33,3344,Manufacturing — Machinery/Electronics/Transport Eq,K0735,GBR,ok
126,M98JCJ2U7RD8,CARLTON NATIONAL RESOURCES INC,5.7229,541330,Engineering Services,54,5413,Professional/Scientific/Technical Services,537J2,USA,ok
127,QZ9GLUKS1MS9,ARTCRAFT FABRICATORS INC,5.5757,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,6TQ25,USA,ok
128,HYNSUU4GPWA9,"GLOBAL EXECUTIVE SOLUTIONS, LLC",5.4754,541611,Administrative Management and General Management Consulting Services ,54,5416,Professional/Scientific/Technical Services,8R0K3,USA,ok
129,HLQLWMV97J37,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,5.4421,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,830R7,USA,ok
130,N9UNRN3F79J1,CIRCOR PUMPS NORTH AMERICA LLC,5.2948,,,,,Unknown,,,not_found
131,C8TMP34LW2L6,EVEREST KANTO CYLINDER LIMITED,5.2511,,,,,Unknown,,,not_found
132,EVP4KM37YU23,CLEVELAND-CLIFFS INC.,5.1337,,,,,Unknown,8SDV3,USA,ok
133,HQYTCMF5RGE4,SHERBURN ELECTRONICS INC.,5.1244,423690,Other Electronic Parts and Equipment Merchant Wholesalers ,42,4236,Wholesale Trade,9Y507,USA,ok
134,MU3CM1145E44,PROGENY SYSTEMS CORPORATION,5.0926,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",54,5417,Professional/Scientific/Technical Services,04JN4,USA,ok
135,E86EYMJR23D1,"MELLINGER ENGINEERING, INCORPORATED",4.9502,332911,Industrial Valve Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,8BEM7,USA,ok
136,PNQKKYEK31E3,BAE SYSTEMS HOLDINGS INC.,4.8858,,,,,Unknown,,,not_found
137,W1LDBNHD4EM7,SCHLUMBERGER N.V.,4.6285,,,,,Unknown,,,not_found
138,QB7EKDNK2E83,TIM BRIERE,4.6268,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,7FCZ5,USA,ok
139,E3YNKWRANZ18,"AQUA-CHEM, INC.",4.5858,332410,Power Boiler and Heat Exchanger Manufacturing,33,3324,Manufacturing — Machinery/Electronics/Transport Eq,0EXU3,USA,ok
140,XTYYPELG5MQ7,"PENNSYLVANIA MACHINE WORKS, LLC",4.5773,,,,,Unknown,,,not_found
141,FH39KDCYBK21,"HTP MEDS, LLC",4.4774,,,,,Unknown,,,not_found
142,FFXKK2MMEM97,"DYNAMIC PRECISION GROUP, INC.",4.4189,,,,,Unknown,,,not_found
143,XLKTN1TLGB75,ELMA ELECTRONIC AG,4.3803,,,,,Unknown,,,not_found
144,PJRYS7EFXQD9,B N L INDUSTRIES INC,4.3773,332911,Industrial Valve Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,0AZ22,USA,ok
145,H8CSTCGGDD87,STRYTEN ENERGY LLC,4.3645,335910,Battery Manufacturing ,33,3359,Manufacturing — Machinery/Electronics/Transport Eq,20038,USA,ok
146,ZL41ERXMPAR3,"LEIDOS HOLDINGS, INC.",4.3428,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",54,5417,Professional/Scientific/Technical Services,4TMM7,USA,ok
147,K6LKL4BYZGZ6,TRILOGIC SYSTEMS CORPORATION,4.3206,541519,Other Computer Related Services,54,5415,Professional/Scientific/Technical Services,5XPW3,USA,ok
148,PNE9R5EJMWK8,L3HARRIS MARITIME SERVICES INC,4.2738,,,,,Unknown,,,not_found
149,LL4CVJVLBGN1,QINETIQ GROUP PLC,4.2713,,,,,Unknown,,,not_found
150,D1L2HV3GLLY3,TIOGA PIPE INC,4.2425,423510,Metal Service Centers and Other Metal Merchant Wholesalers ,42,4235,Wholesale Trade,4DWR2,USA,ok
