Subawardee UEI,Program,Subawardee Vendor Name,Parent UEI,Parent Vendor Name,Parent UEI(s)
QV38GMJUBJQ3,DDG,L3HARRIS MARITIME SERVICES INC,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC",SJULQDJ8NZU7
TMDVSPNEFR69,DDG,"Ives Equipment, LLC",TMDVSPNEFR69,"Ives Equipment, LLC",TMDVSPNEFR69
N9DVRB18H324,DDG,ELLWOOD CITY FORGE COMPANY,SVXNHLLWX953,,SVXNHLLWX953
GKN9NW23L2L9,DDG,"HYSPAN PRECISION PRODUCTS, INC.",GKN9NW23L2L9,"HYSPAN PRECISION PRODUCTS, INC.",GKN9NW23L2L9
KTMAJCY6JXM3,DDG,"LEIDOS, INC.",ZL41ERXMPAR3,"LEIDOS HOLDINGS, INC.",ZL41ERXMPAR3
EP6JXEP15RF3,DDG,"GENUINE CABLE GROUP, LLC",LPNPM5FBDS29,,LPNPM5FBDS29
E5NZAXG4MNB7,DDG,MURRAY BENJAMIN ELECTRIC CO LLC,,,
CJ8CQLEM2RW3,DDG,"SYSCO USA II, LLC",HTHZV61C5DV8,SYSCO CORPORATION,HTHZV61C5DV8
V16LFA3JDR14,DDG,Limitorque Corporation,,,
DH7CZ5SHWTN7,DDG,"CRITICAL COMMUNICATIONS, CONTROLS AND INSTRUMENTS, LLC",,,
SLTUM1DV4433,DDG,"PARASENSE, INC",NPKVXNRA1XT3,PARASENSE LIMITED,NPKVXNRA1XT3; QN84GSHNM1M7; S987C2WHMF29
XK8VBJ94L4E9,DDG,"AEROSPACE SUPPLY, INC",XK8VBJ94L4E9,"AEROSPACE SUPPLY, INC",XK8VBJ94L4E9
C4C1WKKFJ8H5,DDG,ENERGY RENTAL SOLUTIONS LLC,,,
VD5WUGZUCJ44,DDG,"Triple Son Wholesale Timber, Inc.",,,
JFEWJZWTH4W4,DDG,The Tool House Inc,JFEWJZWTH4W4,The Tool House Inc,JFEWJZWTH4W4
FRJQGQHDX4J3,DDG,"L3 TECHNOLOGIES, INC.",SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",SJULQDJ8NZU7
JU7ZGUDEJA79,DDG,RAILWAY SPECIALTIES CORPORATION,,,
F1UZPBD1VBH9,DDG,"LYME COMPUTER SYSTEMS, INC.",F1UZPBD1VBH9,"LYME COMPUTER SYSTEMS, INC.",F1UZPBD1VBH9
H11HD5VHGHN3,DDG,Lockheed Martin Corporation,H11HD5VHGHN3,Lockheed Martin Corporation,H11HD5VHGHN3
WVW5FMYALEL6,DDG,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",,,
N5RJW5NX32Y1,DDG,W R SYSTEMS LTD.,N5RJW5NX32Y1,W R SYSTEMS LTD.,N5RJW5NX32Y1
NGE4ALP2M661,DDG,"WEAVER SUPPLY COMPANY, LLC",,,
RYRLL49HWN65,DDG,BAKER SHEET METAL CORPORATION,,,
UWH5HRSJ5ES7,DDG,AUTOMATIC COATING LIMITED,,,
TKE2CB4A5YW4,DDG,HONEYWELL INTERNATIONAL INC.,YBVGQEYENNM6,HONEYWELL INTERNATIONAL INC.,FKBHDS7BRJF4; YBVGQEYENNM6
MKGCWL2DHBT4,DDG,MARINE TECH WIRE & CABLE INC,MKGCWL2DHBT4,MARINE TECH WIRE & CABLE INC,MKGCWL2DHBT4
XK68QNYRQCH8,DDG,"AMERICAN BOA, INCORPORATED",K1M4HECUHKR4,AEA Europe Fund L.P.,K1M4HECUHKR4
M6ZTA4NZGLQ5,DDG,"ANDERSON METAL INDUSTRIES, INC.",,,
RGFBAKWWL465,DDG,MARITIME APPLIED PHYSICS CORPORATION,,,
CW48SQ7KJX68,DDG,"CRAFT MACHINE WORKS, INC.",CW48SQ7KJX68,"CRAFT MACHINE WORKS, INC.",CW48SQ7KJX68
XGUEGCF761T9,DDG,THE LOUISIANA ASSOCIATION FOR THE BLIND,XGUEGCF761T9,THE LOUISIANA ASSOCIATION FOR THE BLIND,XGUEGCF761T9
LX5BF78ZTHW4,DDG,"HDT EXPEDITIONARY SYSTEMS, INC.",XJMEFDTH72U5,"Hdt Global, Inc.",SPJDDHTQBSY9; XJMEFDTH72U5
