program,piid,vessel_class,builder,work_type,first_award,last_award,n_vendors,repeat_award_share,shared_vendor_pct,shared_vendor_pct_family,dollars_total,d_le_fy12,d_fy2013,d_fy2014,d_fy2015,d_fy2016,d_fy2017,d_fy2018,d_fy2019,d_fy2020,d_fy2021,d_fy2022,d_fy2023,d_fy2024,d_fy2025,d_fy2026,n_le_fy12,n_fy2013,n_fy2014,n_fy2015,n_fy2016,n_fy2017,n_fy2018,n_fy2019,n_fy2020,n_fy2021,n_fy2022,n_fy2023,n_fy2024,n_fy2025,n_fy2026,n_total
ddg,N0002418C2307,DDG-51,HII-Ingalls,piping,2018-10-31,2026-03-03,58,0.9889,0.8448,0.8448,180.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.533,20.31,18.722,13.539,28.889,18.498,18.083,1.575,0,0,0,0,0,0,0,147,59,71,75,160,88,105,16,721
ddg,N0002418C2307,DDG-51,HII-Ingalls,unbucketed,2018-10-25,2026-03-06,130,0.9231,0.5846,0.5846,74.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.858,8.882,12.17,4.03,10.825,6.232,10.077,3.857,0,0,0,0,0,0,0,62,47,65,39,91,61,103,39,507
ddg,N0002418C2307,DDG-51,HII-Ingalls,structural,2018-11-21,2026-03-06,33,0.9845,0.697,0.697,157.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.469,7.669,13.145,17.754,14.003,18.041,39.925,30.335,0,0,0,0,0,0,0,51,38,41,22,70,69,68,28,387
ddg,N0002418C2307,DDG-51,HII-Ingalls,electrical,2018-10-31,2026-03-06,22,0.9887,0.8636,0.8636,140.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.967,17.706,28.462,10.924,15.725,7.996,9.79,10.994,0,0,0,0,0,0,0,56,28,58,36,56,44,56,21,355
ddg,N0002418C2307,DDG-51,HII-Ingalls,hvac,2018-11-21,2026-03-06,12,0.9942,0.8333,0.8333,175.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.385,10.381,26.785,14.29,13.845,2.742,5.135,0.549,0,0,0,0,0,0,0,47,21,15,15,32,29,9,4,172
ddg,N0002418C2307,DDG-51,HII-Ingalls,machining,2018-10-08,2026-02-02,11,0.982,0.9091,0.9091,312.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.626,84.93,19.612,44.36,13.596,5.906,13.653,0.569,0,0,0,0,0,0,0,21,6,12,8,27,12,20,5,111
ddg,N0002418C2307,DDG-51,HII-Ingalls,coatings,2019-09-05,2025-12-08,5,1.0,1.0,1.0,10.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.043,0.192,2.245,4.666,0.492,1.512,1.158,0,0,0,0,0,0,0,1,1,4,7,20,3,10,7,53
ddg,N0002418C2307,DDG-51,HII-Ingalls,castings,2018-10-30,2025-11-26,9,0.9231,0.6667,0.6667,54.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.983,5.833,11.968,3.025,0.13,0.901,1.568,0.076,0,0,0,0,0,0,0,15,6,5,8,1,4,12,1,52
ddg,N0002413C2307,DDG-51,HII-Ingalls,unbucketed,2013-06-26,2026-05-22,159,0.9345,0.6667,0.6667,140.274,0.0,28.845,38.45,23.605,13.827,11.148,11.891,3.227,2.583,3.435,1.943,1.096,0.215,-0.031,0.04,0,60,80,108,126,109,87,50,41,39,26,13,5,3,1,748
ddg,N0002413C2307,DDG-51,HII-Ingalls,piping,2013-06-06,2025-08-15,38,0.9868,0.9474,0.9474,98.556,0.0,19.479,27.799,15.395,12.874,11.304,3.62,3.797,1.296,0.498,1.754,0.411,0.033,0.296,0.0,0,57,89,59,78,60,26,31,17,13,11,9,1,2,0,453
