uei,name,sub_parent_uei,dollars,records,programs,foreign
UUK2QMVKDKN1,"MANSFIELD INDUSTRIAL, INC.",UUK2QMVKDKN1,65891.00,1,ddg,
GM2EHB2GWNL3,NLB CORP.,GM2EHB2GWNL3,65850.00,1,ddg,
YUJBHRDVHAY1,"CONNECTICUT BUSINESS SYSTEMS, LLC",ZZEKFJBR89S4,65549.00,1,ddg,
ZG54KTLANAU7,ANVER CORPORATION,,65486.49,2,ddg,
TAHNTWE2BVN1,"BISCO INDUSTRIES, INC.",UZ6EFJJNEFT3,65088.00,1,ddg,
RHENZGDQYD88,REINER PUMP SYSTEMS INC,TXJGMQ68SKU5,64440.00,3,ddg,
ZCKNVNYLMC43,"MANDEX INTEGRATED LOGISTICS SERVICES, INC.",,63798.72,2,ddg,
X4YDGJ1UE973,Sunbelt Supply L.P.,UXLBKCMVY819,63748.00,2,ddg,
FHJHVERLNXU7,EAGLE LEASING COMPANY THE,FHJHVERLNXU7,63642.00,6,ddg,
UPJ1ASYAGWH4,ALERT TUBING FABRICATORS INC.,,63600.00,2,ddg,
NUMJXMNFTW19,SECHAN ELECTRONICS INC,,63541.00,1,ddg,
HE98WLUBNW88,"ORACLE AMERICA, INC.",J3TKCN6S76D6,63388.03,2,ddg,
KKPLLYQNK495,"BARTOL HEATING AND COOLING, INC.",,63070.00,1,ddg,
K6CEGCM3YCX3,"WESCO GAS & WELDING SUPPLY, INC.",K6CEGCM3YCX3,62394.74,1,ddg,
CPNJM695NH15,"CDP FASTENER GROUP, INC.",,62244.00,1,ddg,
HN7KGQENGTC8,SUPERIOR SOLUTIONS AND INSIGHTS LLC,,62161.00,1,ddg,
K8T6RF8WAKC3,"WING INFLATABLES, INC.",,62140.00,1,ddg,
G9XVDY2MZMX5,INSINGER MACHINE CO,,62116.56,1,ddg,
T18FUPT9Y124,BRUNSON INSTRUMENT COMPANY INC,T18FUPT9Y124,62098.00,1,ddg,
G5NYWVB86BA5,DESCO MANUFACTURING COMPANY,,61278.35,2,ddg,
UHWFF9JP6G48,"PAC-VAN, INC.",W34NLSTY9XJ8,60950.00,2,ddg,
MP5UJHMEHFV1,"TRIDENT MARITIME SYSTEMS, INC.",KN4DLHTLNCS8,60800.00,1,ddg,
FB4ZY68792Y5,TE CONNECTIVITY PHOENIX OPTIX INC.,MPCXJJQJAL83,59497.36,1,ddg,
X65QG1LNA3J3,"UNITED TITANIUM, INC.",X65QG1LNA3J3,59485.50,2,ddg,
QNZ3JNX7NN77,"GRIMSLEY'S HOUSE OF TOOLS, INC.",,59475.00,1,ddg,
S6F5JLBSADM7,MIL-SPEC WIRE & CABLE CO,,59130.00,1,ddg,
LKVHTENM62A5,SUPREME CORP,,58712.50,3,ddg,
H759C2FR8KA3,ABB INC.,VN4ABZNLWJ59,57910.00,3,ddg,
HUYTR5ZGSSN6,"W. & O. SUPPLY, INC.",GGSLGRB5KXM6,57775.00,1,ddg,
UMGZNKKBJJ14,ENDRESS+HAUSER INC.,F59ENEGKZ9P1,57322.79,3,ddg,
VAX5URMCQMM5,"SI TECHNOLOGIES, INC",VAX5URMCQMM5,57232.06,1,ddg,
CRJJZA4KFZ42,LGS INNOVATIONS LLC,UK5FSMFVWEH3,56768.76,1,ddg,
TY15SKKAFJ99,"MOBILE MINI, INC.",,56576.79,2,ddg,
LLNNTHPDWYV1,LIMCO AIREPAIR INC.,TZMTECJ51C87,56206.00,1,ddg,
Q9D3LSUU5BN6,"Mercury Systems, Inc.",J51ULX3CNCZ4,55754.01,2,ddg,
RU3QHCAJP492,"HOFFER FLOW CONTROLS, INC.",,55380.00,2,ddg,
LS77JJSDUXH9,HYDRADYNE LLC,PWYQJP152BE5,55084.00,1,ddg,
LNRSWFY5UKF7,TALBERT MANUFACTURING INC,LNRSWFY5UKF7,55000.00,1,ddg,
XAABQKXTNJ16,ADVANTAGE ENGINEERING INC,XAABQKXTNJ16,54840.00,2,ddg,
V3GKQC7LZE37,FRED L HAWKINS CO INC,V3GKQC7LZE37,54775.00,2,ddg,
WX7ED2HWHJ17,"E7 Solutions, LLC",WX7ED2HWHJ17,54319.73,1,ddg,
JUN5EFMB2NZ7,THOMPSON SUPPLY CO INC,JUN5EFMB2NZ7,54208.44,2,ddg,
JUUJFULRELM5,HALL ASSOCIATES INC,,54130.75,1,ddg,
GC3AEESM5MT3,"IDEAL SUPPLY, INC.",GC3AEESM5MT3,53516.65,1,ddg,
NC39YCMEXVJ8,COLUMBUS MCKINNON CORPORATION,NKESS3J37J77,53252.00,2,ddg,
VHCPBNRMLK33,"ASSOCIATED FOOD EQUIPMENT AND SUPPLIES, INC.",VHCPBNRMLK33,52528.00,2,ddg,
TB74HBR5ABD6,"HUGHES CIRCUITS, INC.",,52500.00,1,ddg,
QVDMAW2TVBE7,"MET LABORATORIES, INC.",V954CM7C5F33,52250.00,3,ddg,
ZXGBKBLTY7F1,LBC AQUISITIONS LLC,VK1WGWEKJRS4,52236.92,1,ddg,
QCDDKNMK52W8,ELECTRONIC SALES OF NEW ENGLAND,QCDDKNMK52W8,51975.00,1,ddg,
KLQKFEZBNTL3,A & J MANUFACTURING CO,K4HGDHLTDK41,51935.00,1,ddg,
SBTJZ23QYKM5,"MOBILE MINI, INC.",MH4FDVBB4G88,51836.40,2,ddg,
DKSJBNE34MJ7,"Q-MATION, INC.",DKSJBNE34MJ7,51835.00,1,ddg,
MJGFRKACFZB3,MEMKOR INC,,51760.00,1,ddg,
UTG3KW3RJ6M3,Shenzhen Nanshan District Gelaimi Clothes Shop,,51650.28,1,ddg,Y
H4B2SHRH1D16,"SAVEWAY PETROLEUM, INC.",,51646.26,2,ddg,
KUCZSM9XDBS5,"GLOBAL SUPPLY, INC.",,51602.28,1,ddg,
DMZLNDQW1RD6,HARDWARE SPECIALTY CO,LZQFW2PSQ4C3,51600.00,1,ddg,
PXB2X38X4V11,CONVERGINT TECHNOLOGIES LLC,,51406.02,1,ddg,
DA2CMNNJWSZ4,Captain Freds Sea Trial Support LLC,,50578.20,1,ddg,
RCCWP36NHMA6,"PPG ARCHITECTURAL FINISHES, INC.",WA6MBG28BUQ5,50400.00,1,ddg,
MUTVDB5TJ4B3,"PID ANALYZERS, LLC",VRGPFC4QKP16,50000.00,1,ddg,
VK36BNH241M8,"H. O. PENN MACHINERY COMPANY, INC.",VK36BNH241M8,50000.00,1,ddg,
CVMQHCRDBVT7,"KEVIN GROS CONSULTING & MARINE SERVICES, INC.",,50000.00,2,ddg,
D7T3U3HPNR49,J. STEELE SERVICES LLC,,49560.08,1,ddg,
VS7NBJG314R6,INTERNATIONAL PAINT LLC,CPRTJPTEJ2K4,49500.00,1,ddg,
NE3DARLAMEN6,"PROCESS ENGINEERING COMPANY, INC.",,49420.00,1,ddg,
EEE8FHKK1YR9,"LAFAYETTE RESTAURANT SUPPLY, INC.",,47980.00,1,ddg,
PM2FDF7CCNC2,"MARISCO, LTD.",PM2FDF7CCNC2,47903.52,3,ddg,
EJ1DW3A8BFM8,CORE INDUSTRIES INC.,NB2HLRTJJJQ7,47300.00,1,ddg,
S4FJKGRXLGD5,"Hunter Electric, Inc",,47000.00,1,ddg,
MMTME6UEFEC5,"EIS, INC.",DZ8RD2EBBMK5,46920.00,1,ddg,
NFTFCKNL7Z57,"COASTAL MARINE EQUIPMENT, INC.",,46650.00,1,ddg,
YGFEZY19YQR9,NORTHROP GRUMMAN SYSTEMS CORP,,46250.00,1,ddg,
U6JRN865H4E3,TTI INC.,U6JRN865H4E3,46016.00,1,ddg,
EK4US8MM54U3,"NOANK ELECTRIC, LLC",,46000.00,1,ddg,
FVC6G8L6UZ95,H & C TOOL SUPPLY CORP.,,44425.00,1,ddg,
GV6WMAJUK1R9,SIOUX MANUFACTURING CORPORATION,,44376.84,1,ddg,
TL9AYFLSQ189,"JORGENSEN FORGE CORPORATION, THE",MUDRJ4V89NN8,44364.00,1,ddg,
Z1YKDWN86HE6,RAYTHEON COMPANY,EGAVSJTA2D81,44198.77,3,ddg,
ELM6EX21EMJ9,CYMBEL CORPORATION,XRU8MN24H8C5,43913.00,1,ddg,
RSKAJD8SNDL3,"RED THREAD SPACES, LLC",GGKLKCCKVZ16,43742.98,3,ddg,
L2R3JUN9CL49,CURTISS-WRIGHT FLOW CONTROL CORPORATION,PF8PJNVEPTJ1,43512.00,1,ddg,
J5AJWFZ9H8Q6,"MCNALLY INDUSTRIES, LLC",J5AJWFZ9H8Q6,43240.00,1,ddg,
GD27DVQLYKR5,ASTRO PAK CORP,,42978.00,1,ddg,
XQ2FNSEVHWL1,"GOODWIN-BRADLEY PATTERN CO., INC.",,42693.40,4,ddg,
PWLMEWS7MKM9,INDUSTRIAL TOOLING & SUPPLY LLC,,42682.94,1,ddg,
T4MGJ9BU63J6,"MUNICIPAL EMERGENCY SERVICES, INC.",T4MGJ9BU63J6,42418.62,1,ddg,
M25KW7YJBAK3,"CARTER MACHINERY COMPANY, INCORPORATED",JZSHR7DX1MQ9,42369.19,1,ddg,
NZNKGYLA9NT3,DRAFTCO INCORPORATED,NZNKGYLA9NT3,41895.00,1,ddg,
MD21J51WM123,TYCO FIRE PRODUCTS LIMITED PARTNERSHIP,XEQ3L57D2J24,41641.50,1,ddg,
RW9ZRN3J3KB3,"POWERHOUSE EQUIPMENT & ENGINEERING COMPANY, INC.",RW9ZRN3J3KB3,41600.00,1,ddg,
MNT6HLDT9MM4,BUSCH LLC,,41475.68,1,ddg,
N5XMR889END5,SPECIAL METALS CORPORATION,UU26FKF1MML6,41392.50,1,ddg,
KU2EMBAAACG9,"APPLIED DYNAMICS INTERNATIONAL, INC.",KU2EMBAAACG9,40715.00,1,ddg,
ZFN1PBJXNUA3,"CONX INNOVATIONS, LLC",,40600.00,2,ddg,
WE8YDHCEPHB1,All-Phase Electric Supply Co Inc,,40598.88,1,ddg,
HD9RV8F4JCL6,"PAPE' MATERIAL HANDLING, INC.",R1JPMJJM4268,40435.94,4,ddg,
YET2PMM1L7J4,AUTOMATED PRECISION INC.,,39753.00,1,ddg,
FFEAH6Z5CK27,"STOTTLER HENKE ASSOCIATES, INC.",FFEAH6Z5CK27,39564.26,2,ddg,
C12YPM9YKQA5,PANAMETRICS LLC,JRZ1WHXAKBM3,39303.00,1,ddg,
YLE5AAYNVPK6,"NOBLE SUPPLY & LOGISTICS, LLC",,39228.80,1,ddg,
W6SWKAS2DBE5,SHILOH INDUSTRIES INC,,39144.00,1,ddg,
P4NMA2SHLR53,"CORNET TECHNOLOGY, INC.",P4NMA2SHLR53,38700.00,1,ddg,
ZTAFBECM35Z6,TECNICO CORPORATION,CQUHU3PC44L3,38675.20,1,ddg,
HFDXVMRW2NX8,"TRUSTED SYSTEMS, INC.",HFDXVMRW2NX8,38655.00,1,ddg,
