Program,Prime PIID,Subawardee UEI,Subawardee Vendor Name,Reports,Distinct Subaward Numbers,Correction Actions,First Action,Last Action,Activity Span (Years),Net Subaward $M (FY2026$)
DDG,N0002411C2309,J8ATNVMEGLK1,"CHAND, L.L.C.",,5,,,,,
DDG,N0002411C2309,W2H3SYSJNLK5,Arastaff,,2,,,,,
DDG,N0002411C2309,JR3NDKLB4BH9,PACIFIC MARINE SYSTEMS CORP,,3,,,,,
DDG,N0002411C2309,Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",,3,,,,,
DDG,N0002411C2309,JLREE96WGKM5,DRS LAUREL TECHNOLOGIES,,2,,,,,
DDG,N0002411C2309,JU2ME5ZK8VL3,"MMC METROLOGY LAB, INC",,2,,,,,
DDG,N0002411C2309,SKKACASET588,DYNALEC CORPORATION,,6,,,,,
DDG,N0002411C2309,UWH5HRSJ5ES7,AUTOMATIC COATING LIMITED,,1,,,,,
DDG,N0002411C2309,G15JF2TNVBL6,SIGNET MARITIME CORPORATION,,3,,,,,
DDG,N0002411C2309,JRHJJRY6DWK3,"CORNELL-CARR CO., INC.",,2,,,,,
DDG,N0002411C2309,RYRLL49HWN65,BAKER SHEET METAL CORPORATION,,2,,,,,
DDG,N0002411C2309,CXZ9PUEZ5SQ7,BLACK & DECKER (U.S.) INC.,,2,,,,,
DDG,N0002411C2309,HNJDANSKDZK9,"SPECTRONICS, INC.",,4,,,,,
DDG,N0002411C2309,V32LJNFLKBT7,RFD BEAUFORT INC.,,1,,,,,
DDG,N0002411C2309,LR2HQKYJLDZ7,ESI ACQUISITION CORP.,,2,,,,,
DDG,N0002411C2309,DW33W8L3N1P8,"PHOENIX GROUP OF VIRGINIA, INC.",,1,,,,,
DDG,N0002411C2309,JN16VPC2PXN4,"BAY CITY MARINE, INC.",,3,,,,,
DDG,N0002411C2309,UK8DL82MHJG5,PROPULSION CONTROLS ENGINEERING,,2,,,,,
DDG,N0002411C2309,FJMAMQK89ZB8,"CAMERON TECHNOLOGIES US, INC.",,1,,,,,
DDG,N0002411C2309,JA2KCX21NL48,"WARTSILA DEFENSE, INC.",,4,,,,,
DDG,N0002411C2309,VJMTKNLENX24,ENGINEERED COIL COMPANY,,3,,,,,
DDG,N0002411C2309,MEMSWT1LFU18,JERED LLC,,2,,,,,
DDG,N0002411C2309,C6C8KS7Y1K76,MIDE TECHNOLOGY CORPORATION,,3,,,,,
DDG,N0002411C2309,V6JXCLR8QR37,RHINESTAHL CORPORATION,,1,,,,,
DDG,N0002411C2309,HMBSX7Z72UK4,"WESTLAND TECHNOLOGIES, INC.",,2,,,,,
DDG,N0002411C2309,JFEWJZWTH4W4,The Tool House Inc,,1,,,,,
DDG,N0002411C2309,JK16ZQ9FRJ51,TAVERNIER DIDIER,,1,,,,,
DDG,N0002411C2309,F98TZC6J5XV1,"ARC TECHNOLOGIES, INC.",,1,,,,,
DDG,N0002411C2309,UTWXQFNH47D5,"MEGGITT (NORTH HOLLYWOOD), INC.",,1,,,,,
DDG,N0002411C2309,KTMAJCY6JXM3,"LEIDOS, INC.",,1,,,,,
DDG,N0002411C2309,G871GBTQ94M7,Lona Slade,,1,,,,,
DDG,N0002411C2309,CJ8CQLEM2RW3,"SYSCO USA II, LLC",,1,,,,,
DDG,N0002411C2309,NBM4G4SAFQM3,"QUALITY PERFORMANCE, INC.",,1,,,,,
DDG,N0002411C2309,MSSQQ551LG41,"IMPRES TECHNOLOGY SOLUTIONS, INC.",,1,,,,,
DDG,N0002411C2309,DYJZZ9DANLM3,Ralph & Dorothy Moore,,1,,,,,
DDG,N0002411C2309,XGUEGCF761T9,THE LOUISIANA ASSOCIATION FOR THE BLIND,,1,,,,,
DDG,N0002411C2309,FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,,2,,,,,
DDG,N0002411C2309,LFVJABJDQVZ9,"W. & O. SUPPLY, INC.",,2,,,,,
DDG,N0002411C2309,RMLGMBGNPCC8,"KINGSBURY, INC.",,1,,,,,
DDG,N0002411C2309,NL7RNBHWHJQ1,DRS TECHNOLOGIES CANADA LTD,,1,,,,,
DDG,N0002411C2309,LRYRHNM7EHJ8,"GAYLORD INDUSTRIES, INC.",,1,,,,,
DDG,N0002411C2309,PQGNEEY9W5M3,NORTHROP GRUMMAN SYSTEMS CORPORATION,,2,,,,,
DDG,N0002411C2309,HLVNZXU8EAM1,POWER PARAGON INC,,2,,,,,
DDG,N0002411C2309,E383LRP25MY6,YOUNG ENGINEERING COMPANY INC.,,2,,,,,
DDG,N0002411C2309,VD5WUGZUCJ44,"Triple Son Wholesale Timber, Inc.",,1,,,,,
DDG,N0002411C2309,HLFDNJU7KXJ1,BOGUE SYSTEMS INC.,,2,,,,,
DDG,N0002411C2309,UUK2QMVKDKN1,"MANSFIELD INDUSTRIAL, INC.",,1,,,,,
DDG,N0002411C2309,JL4THZCMNKR7,JACKSON PLATING CO.,,1,,,,,
DDG,N0002411C2309,XMLNYKT139G8,CRESTWOOD TECHNOLOGY GROUP CORP.,,1,,,,,
DDG,N0002411C2309,RYYRAAAGPXB5,"STOCKERT, LAURA",,1,,,,,
DDG,N0002411C2309,H1PAVTLJBJ88,TYCO FIRE PRODUCTS LP,,1,,,,,
DDG,N0002411C2309,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,,1,,,,,
