Subawardee UEI,Subawardee Vendor Name,Distinct PIIDs,Distinct Programs,Distinct Subaward Numbers
REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,8,3,69
VXHFDAKS2LZ6,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,2,2,4
C7QHHMJEALN1,"MONROE CABLE COMPANY, INC., THE",3,2,3
GTP8S87MBPF3,"GREENLAND ENTERPRISES, INC.",1,1,1
MK9SR2K87JN5,"LANDSTAR INWAY, INC.",1,1,1
DXM3GSLGH2Z5,"FAIRLEAD INTEGRATED, LLC",2,2,14
F1UZPBD1VBH9,"LYME COMPUTER SYSTEMS, INC.",5,2,70
VKBFB8MAZ357,TITANIUM FABRICATION CORPORATION,3,2,22
LPY6KXBKHMK8,"RHOADS INDUSTRIES, INC.",2,2,6
R9EYKGK8NKA5,"NUFLO, INC.",2,1,11
ETWEE7EYY9G5,COGITIC CORPORATION,3,2,33
JSAXGRLNEJ63,"COLONNA'S SHIP YARD, INCORPORATED",2,2,5
H1PAVTLJBJ88,TYCO FIRE PRODUCTS LP,4,1,23
D2J1SSHB5EB7,THE HELLAN STRAINER CO,4,1,37
LFVJABJDQVZ9,"W. & O. SUPPLY, INC.",4,1,30
FLQJXSFMNQP6,"LISTER CHAIN AND FORGE, INC.",3,1,15
FR7WWCCNBQZ6,D K MACHINE INC,2,2,25
JFHLZNJLWAN5,"PARADIGM PRECISION HOLDINGS, LLC",3,2,44
MMDRDDVELDX8,DANTE VALVE COMPANY,3,1,68
WAJ6RKYZTYL3,C & C METALS ENGINEERING INC,4,2,84
WNDYZX3ALFB1,"COMARK, LLC",4,2,27
ZLM5NQE8LSR8,"IMECO, INC.",2,1,10
GLRVV6FC6DB3,GP STRATEGIES CORPORATION,2,2,6
C6C8KS7Y1K76,MIDE TECHNOLOGY CORP,5,2,26
CXK2Y51KDBW1,PRL INDUSTRIES INC,2,2,3
D44RA79E3K57,PRECISION PRODUCTS INC,4,1,52
MRGNDX62YHQ3,Conrex Steel Ltd,2,2,5
RLYHS582JDW8,"CAMERON TECHNOLOGIES US, INC.",3,2,20
PGWNKJF89FV5,ELMA ELECTRONIC INC.,4,2,29
PM3QRNLPA8K5,"RILEY POWER GROUP, LLC",2,2,2
HTR5K76FMH84,"FEDERAL BRONZE CASTING INDUSTRIES, INC.",3,2,28
S1LJCH88WHT5,W.R. DAVIS ENGINEERING LIMITED,3,2,11
M98JCJ2U7RD8,CARLTON NATIONAL RESOURCES INC,2,2,18
VJHFDLA3NLG8,Vulcan Metals Corporation,6,3,19
Y5R2L8HWAUA8,"NAVUS AUTOMATION, INC",1,1,13
MVJ8B69F5CL6,"RIGGINS COMPANY, L.C.",3,2,17
RJGEKQDTZKT8,"ELECTRIC HEATER COMPANY, THE",6,3,26
MWAKL633WET8,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,1,1,1
XJTAAHL58NB6,"EASTERN SHIPBUILDING GROUP, INC.",1,1,3
CVKGYGVN9229,ARTCRAFT FABRICATORS INC,1,1,2
HYNSUU4GPWA9,GLOBAL EXECUTIVE SOLUTIONS LLC,2,2,5
MXTJBDD1L4T4,"TAYLOR DEVICES, INC.",3,2,14
HLQLWMV97J37,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,1,1,7
RDG4F8MZVDU1,"POWER PARAGON, INC.",2,2,3
QB7EKDNK2E83,SHELBY SUPPLY CO LLC,4,3,43
PNLJW4UFU1A8,"MARK C. POPE ASSOCIATES, INC.",2,1,12
JRHJJRY6DWK3,"CORNELL-CARR CO., INC.",4,1,32
Y7N4SPXNK115,CLEVELAND-CLIFFS STEEL LLC,2,2,14
XH9ADBLZRMF1,MELLINGER ENGINEERING GROUP LLC,3,2,15
GCUTMML7MHH3,South Florida Van Lines Inc,1,1,9
YA5MLUTX7W19,ITT CORPORATION,2,2,3
L2EDH4DX27J5,"WILLIAM E WILLIAMS, VALVE CORP",3,1,40
ZXNYWJ1KLDL9,"SYMETRICS INDUSTRIES, LLC",2,1,4
JU5GNH1H5FV6,DY4 INC.,5,2,29
H2VUYH8JMBY9,CURTISS-WRIGHT FLOW CONTROL SERVICE CORPORATION,2,1,6
