uei,name,dollars_total_$M,dollars_submarines_$M,dollars_ddg_$M,records,foreign,enriched,sam_match,reg_status,org_structure_desc,primary_naics_6,primary_naics_4,naics_count,all_naics_6,psc_count,psc_list,immediate_owner,highest_owner,cage,exclusion,business_types
P33VWHC39MN5,"ADMIRAL VALVE, LLC",1.608,1.608,0.0,15,no,yes,Active,Active,Manufacturer of Goods,332912,3329,3,332911;332912;332919,0,,ADMIRAL TECHNOLOGY LLC,THE GHERMEZIAN DYNASTY TRUST,99565,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
G58FFJ6F2CA7,GK MECHANICAL SYSTEMS LLC,1.602,1.459,0.143,11,no,yes,Active,Active,Manufacturer of Goods,336611,3366,3,332510;336413;336611,0,,NOVARIA HOLDINGS LLC,ARCLINE HOLDINGS LLC,3BU57,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
PFRSFST9SSL1,RANTEC POWER SYSTEMS INC.,1.576,1.576,0.0,6,no,yes,Active,Active,Subchapter S Corporation,335999,3359,1,335999,8,5840;5841;5845;5963;5975;5998;6110;6130,RPS HOLDINGS INC,,60132,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
V212U2BEGU37,"SAFARI MICRO, INC.",1.576,1.576,0.0,9,no,yes,Active,Active,,541519,5415,1,541519,0,,,,1KEN9,N,Self Certified Small Disadvantaged Business;For Profit Organization;Business or Organization
G15JF2TNVBL6,SIGNET MARITIME CORPORATION,1.568,0.0,1.568,13,no,yes,Active,Active,Subchapter S Corporation,336611,3366,9,332312;336611;336612;483111;483113;483211;488310;488330;532411,0,,,,1R0X5,N,For Profit Organization;Veteran-Owned Business;Business or Organization;Subchapter S Corporation
P4XPJNTCHB68,"SCHOELLHORN - ALBRECHT MACHINE CO., INC.",1.549,0.0,1.549,19,no,yes,Active,Active,Manufacturer of Goods,331513,3315,11,331513;332312;332510;332710;333120;333923;336611;423510;423830;423840;423860,5,2010;2020;2030;2040;2090,,,0MKF7,N,For Profit Organization;Veteran-Owned Business;Business or Organization;Manufacturer of Goods
KW9XSYBX2D65,MIRION TECHNOLOGIES (IST) CORPORATION,1.543,1.543,0.0,3,no,yes,Active,Active,Manufacturer of Goods,334519,3345,1,334519,0,,"MIRION TECHNOLOGIES (US), INC","MIRION TECHNOLOGIES, INC.",0C0H9,N,For Profit Organization;Business or Organization;Manufacturer of Goods
PUFMZLZJ2BY2,"MATTHEW WARREN, INC.",1.519,1.519,0.0,13,no,yes,Active,Active,Manufacturer of Goods,332613,3326,1,332613,0,,"MATTHEW WARREN, INC.",,00RF9,N,For Profit Organization;Business or Organization;Manufacturer of Goods
YD6LTFVUZNG1,RAYTHEON COMPANY,1.519,0.0,1.519,4,no,yes,Active,Active,Manufacturer of Goods,541512,5415,9,334290;334412;334413;334511;336413;336414;336419;541330;541512,0,,RAYTHEON COMPANY,RTX CORPORATION,7Y193,N,For Profit Organization;Business or Organization;Manufacturer of Goods
XP9YLL3TNCB9,"S & S FOREST PRODUCTS, LLC",1.513,1.513,0.0,31,no,yes,Active,Active,Limited Liability Company,423310,4233,7,321912;321920;321999;337212;423310;423710;444180,0,,,,4MD36,N,For Profit Organization;Veteran-Owned Business;Business or Organization;Limited Liability Company;Service-Disabled Veteran-Owned Business
