supplier,sub_key,total_sub_dollars,n_distinct_primes,primary_capability,primes
"METROPOLE PRODUCTS, INC.",T1DJK3F8H6V5,106485.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
QUASAR POWER & TECHNOLOGIES INC.,N88VHXESBD88,95400.0,1,propulsion_power,RAYTHEON COMPANY
"VIRGINIA EQUIPMENT RENTAL COMPANY, INC.",FZG7JRH6SLX4,94280.0,1,other_unclassified,HUNTINGTON INGALLS INC
PFG PRECISION OPTICS INC,LN46BBJSG5N7,90672.0,1,sensors_payload,"L3 TECHNOLOGIES, INC."
"PROTOTEK SHEETMETAL FABRICATION, LLC",JLGXANLHYFG3,90308.84,1,platform_hull,SERCO INC
"AFP INDUSTRIES, INC.",CU5UGJMPADX8,90000.0,1,other_unclassified,"LEIDOS, INC."
"DYNETICS, INC.",FH7ML8E9EWJ7,85442.0,1,other_unclassified,RAYTHEON COMPANY
"SYSTEL, INC.",FMHAF7KDLFD5,83970.0,1,other_unclassified,"LEIDOS, INC."
SIEMENS AKTIENGESELLSCHAFT,RDB2AM2GGHH8,83236.0,1,other_unclassified,HUNTINGTON INGALLS INC
"LINDEN PHOTONICS, INC.",CPK3R55EDG83,80770.0,1,other_unclassified,"SAAB, INC"
"KME AMERICA MARINE TUBE & FITTING, LLC",DK14KTLXA9M5,80280.0,1,other_unclassified,HUNTINGTON INGALLS INC
AMERICAN BUREAU OF SHIPPING,MMU8RZF8HMH9,80000.0,1,platform_hull,NATIONAL STEEL AND SHIPBUILDING COMPANY
"JBS SOLUTIONS, INC.",VHQ8NNER3195,79579.6,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"NUMBER, INC.",ZRB2NKN4Z8A1,79410.84,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"STS OPERATING, INC.",RU42J22YFWW5,79181.38,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
CONCO SERVICES CORPORATION,H155K6KXDE64,78400.0,1,integration_eng_svcs,HUNTINGTON INGALLS INC
Transdigm Group Incorporated,UAC2KLJM4XY1,76440.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
SENIOR PLC,T8F3DFSTS611,75450.0,1,other_unclassified,HUNTINGTON INGALLS INC
CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,UVF8ZTYG9FV3,73340.5,1,autonomy_software,"HII UNMANNED SYSTEMS, INC"
"PLASTOCOR, INC.",MNDWMVCNEGC9,72708.14,1,other_unclassified,HUNTINGTON INGALLS INC
"L3HARRIS FUZING AND ORDNANCE SYSTEMS, INC.",PNE9R5EJMWK8,72254.0,1,other_unclassified,RAYTHEON COMPANY
ARNE AVIATION LLC,PEG3VG9ABYU3,71400.0,1,other_unclassified,SERCO-IPS CORPORATION
"Glenair, Inc.",YVBHN7GKLQ44,69475.63,1,autonomy_software,SERCO-IPS CORPORATION
WILLIAMS SCOTSMAN INC,URUVKGK3FTV1,69148.09,1,other_unclassified,HUNTINGTON INGALLS INC
