cell,desc,net,n,primes,top1,hhi,eff,label,span,n_years
2805,"GASOLINE RECIPROCATING ENGINES, EX",211703.75000000003,4,2,0.7062876779461866,0.5851092121448592,1.7090826451599666,High,2,3
1376,BULK EXPLOSIVES,156640.0,1,1,1.0,1.0,1.0,High,0,1
DG11,IT and Telecom - Network: Satellit,146703.21,1,1,1.0,1.0,1.0,High,0,1
6115,"GENERATORS AND GENERATOR SETS, ELE",111068.0,4,1,1.0,1.0,1.0,High,5,4
9340,GLASS FABRICATED MATERIALS,54090.0,1,1,1.0,1.0,1.0,High,0,1
8110,DRUMS AND CANS,49168.59,1,1,1.0,1.0,1.0,High,0,1
4235,HAZARDOUS MATERIAL SPILL CONTAINME,10230.0,1,1,1.0,1.0,1.0,High,0,1
7643,"TOPOGRAPHIC MAPS, CHARTS AND GEODE",6568.8,1,1,1.0,1.0,1.0,High,0,1
7195,MISCELLANEOUS FURNITURE AND FIXTUR,4086.21,1,1,1.0,1.0,1.0,High,0,1
7520,OFFICE DEVICES AND ACCESSORIES,1618.65,1,1,1.0,1.0,1.0,High,0,1
8465,INDIVIDUAL EQUIPMENT,827.48,1,1,1.0,1.0,1.0,High,0,1
2630,"TIRES, SOLID AND CUSHION",796.47,1,1,1.0,1.0,1.0,High,0,1
7510,OFFICE SUPPLIES,677.14,1,1,1.0,1.0,1.0,High,0,1
2590,MISCELLANEOUS VEHICULAR COMPONENTS,404.06,1,1,1.0,1.0,1.0,High,0,1
5940,"LUGS, TERMINALS, AND TERMINAL STRI",115.29,1,1,1.0,1.0,1.0,High,0,1
9150,"OILS AND GREASES: CUTTING, LUBRICA",100.8,1,1,1.0,1.0,1.0,High,0,1
C129,OTHER NON-BUILDING STRUCTURES,0.0,1,0,0,0,0,Check,0,1
